Step,Reward/Raw_Episode,Reward/Average_100_Episodes,Training/Success_Rate,Safety/Shield_Activations,Training/Episode_Length,Outcome/Type,Training/Learning_Rate,Loss/Policy_Loss,Loss/Value_Loss,Training/Entropy,Training/Approx_KL
1890,221.1278533935547,232.4264678955078,0.029999999329447746,0.0,245.0,1.0,0.00011110000195913017,-0.02497902885079384,0.22874049842357635,2.657119035720825,0.004174723755568266
1891,258.38653564453125,233.0597686767578,0.029999999329447746,0.0,290.0,1.0,0.00011100000119768083,,,,
1892,234.43426513671875,233.63540649414062,0.029999999329447746,0.0,218.0,1.0,0.0001109000004362315,,,,
1893,224.95372009277344,233.3180694580078,0.029999999329447746,0.0,249.0,1.0,0.00011079999967478216,,,,
1894,228.7087860107422,233.47337341308594,0.029999999329447746,0.0,229.0,1.0,0.00011069999891333282,,,,
1895,215.7969512939453,234.0264434814453,0.029999999329447746,0.0,214.0,1.0,0.00011059999815188348,,,,
1896,233.81556701660156,234.65199279785156,0.029999999329447746,0.0,206.0,1.0,0.00011049999739043415,,,,
1897,190.6902313232422,234.23394775390625,0.029999999329447746,0.0,183.0,1.0,0.00011039999662898481,,,,
1898,66.14766693115234,231.5425567626953,0.029999999329447746,0.0,107.0,3.0,0.00011030000314349309,,,,
1899,44.91227340698242,227.60531616210938,0.019999999552965164,0.0,109.0,3.0,0.00011020000238204375,,,,
1900,150.47244262695312,224.6365966796875,0.009999999776482582,0.0,167.0,1.0,0.00011010000162059441,0.0008383526001125574,0.32584646344184875,2.6567585468292236,0.0035300725139677525
1901,204.76124572753906,224.47781372070312,0.009999999776482582,0.0,211.0,1.0,0.00011000000085914508,,,,
1902,202.12802124023438,225.0837860107422,0.009999999776482582,0.0,196.0,3.0,0.00010990000009769574,,,,
1903,254.54331970214844,225.37913513183594,0.009999999776482582,0.0,233.0,1.0,0.0001097999993362464,,,,
1904,289.97039794921875,225.91122436523438,0.009999999776482582,0.0,269.0,1.0,0.00010969999857479706,,,,
1905,444.7123107910156,227.86932373046875,0.019999999552965164,0.0,461.0,4.0,0.00010959999781334773,,,,
1906,164.08934020996094,227.33558654785156,0.019999999552965164,0.0,172.0,3.0,0.00010949999705189839,,,,
1907,215.20904541015625,228.0855255126953,0.019999999552965164,0.0,253.0,3.0,0.00010940000356640667,,,,
1908,15.667860984802246,225.63050842285156,0.019999999552965164,0.0,77.0,3.0,0.00010930000280495733,,,,
1909,39.7481689453125,222.99658203125,0.019999999552965164,0.0,91.0,3.0,0.00010920000204350799,-0.027393383905291557,0.4534561038017273,2.6557059288024902,0.006035590544342995
1910,207.59896850585938,222.09083557128906,0.019999999552965164,0.0,193.0,1.0,0.00010910000128205866,,,,
1911,310.84478759765625,222.81533813476562,0.019999999552965164,0.0,281.0,3.0,0.00010900000052060932,,,,
1912,137.21824645996094,220.45614624023438,0.019999999552965164,0.0,190.0,3.0,0.00010889999975915998,,,,
1913,158.96746826171875,220.0702667236328,0.019999999552965164,0.0,205.0,1.0,0.00010879999899771065,,,,
1914,146.7671661376953,219.8253173828125,0.019999999552965164,0.0,159.0,1.0,0.00010869999823626131,,,,
1915,235.25741577148438,219.92039489746094,0.019999999552965164,0.0,236.0,1.0,0.00010859999747481197,,,,
1916,168.80618286132812,219.1245574951172,0.019999999552965164,0.0,210.0,1.0,0.00010849999671336263,,,,
1917,162.4369354248047,218.29183959960938,0.019999999552965164,0.0,161.0,1.0,0.00010840000322787091,,,,
1918,230.3402862548828,218.1937713623047,0.019999999552965164,0.0,224.0,1.0,0.00010830000246642157,,,,
1919,213.75677490234375,218.1599578857422,0.019999999552965164,0.0,217.0,3.0,0.00010820000170497224,0.004920856095850468,0.3368918299674988,2.6549911499023438,0.00513985101133585
1920,231.1976318359375,217.5765380859375,0.019999999552965164,0.0,196.0,1.0,0.0001081000009435229,,,,
1921,295.8160705566406,217.89871215820312,0.019999999552965164,0.0,269.0,1.0,0.00010800000018207356,,,,
1922,247.9149627685547,219.2108154296875,0.019999999552965164,0.0,245.0,1.0,0.00010789999942062423,,,,
1923,165.1012725830078,217.53103637695312,0.019999999552965164,0.0,163.0,3.0,0.00010779999865917489,,,,
1924,37.585304260253906,216.2735595703125,0.019999999552965164,0.0,77.0,3.0,0.00010769999789772555,,,,
1925,243.13763427734375,216.30714416503906,0.019999999552965164,0.0,238.0,1.0,0.00010759999713627622,,,,
1926,302.9379577636719,216.80894470214844,0.019999999552965164,0.0,304.0,1.0,0.00010749999637482688,,,,
1927,159.38999938964844,215.85464477539062,0.019999999552965164,0.0,161.0,3.0,0.00010740000288933516,,,,
1928,172.06619262695312,214.07757568359375,0.019999999552965164,0.0,174.0,3.0,0.00010730000212788582,,,,
1929,220.16680908203125,212.9055633544922,0.019999999552965164,0.0,216.0,1.0,0.00010720000136643648,0.007701063994318247,0.2591676414012909,2.654691219329834,0.004088093061000109
1930,237.81666564941406,213.45574951171875,0.019999999552965164,0.0,215.0,1.0,0.00010710000060498714,,,,
1931,229.1751708984375,213.47950744628906,0.019999999552965164,0.0,206.0,1.0,0.00010699999984353781,,,,
1932,219.07411193847656,213.34010314941406,0.019999999552965164,0.0,204.0,1.0,0.00010689999908208847,,,,
1933,114.75945281982422,212.21572875976562,0.019999999552965164,0.0,152.0,3.0,0.00010679999832063913,,,,
1934,151.59075927734375,211.66455078125,0.019999999552965164,0.0,147.0,1.0,0.0001066999975591898,,,,
1935,148.80726623535156,208.78501892089844,0.009999999776482582,0.0,151.0,1.0,0.00010659999679774046,,,,
1936,218.65518188476562,208.48997497558594,0.009999999776482582,0.0,227.0,1.0,0.00010650000331224874,,,,
1937,246.75404357910156,208.2655029296875,0.009999999776482582,0.0,234.0,1.0,0.0001064000025507994,,,,
1938,239.69180297851562,206.98033142089844,0.009999999776482582,0.0,231.0,1.0,0.00010630000178935006,,,,
1939,234.4191131591797,206.07058715820312,0.009999999776482582,0.0,235.0,1.0,0.00010620000102790073,0.01831791177392006,0.29335805773735046,2.6548104286193848,0.00496853981167078
1940,225.34722900390625,205.68911743164062,0.009999999776482582,0.0,243.0,1.0,0.00010610000026645139,,,,
1941,179.4518280029297,204.33804321289062,0.009999999776482582,0.0,208.0,1.0,0.00010599999950500205,,,,
1942,237.53170776367188,204.89012145996094,0.009999999776482582,0.0,222.0,1.0,0.00010589999874355271,,,,
1943,190.845703125,204.7637939453125,0.009999999776482582,0.0,195.0,3.0,0.00010579999798210338,,,,
1944,183.82778930664062,203.75914001464844,0.009999999776482582,0.0,188.0,1.0,0.00010569999722065404,,,,
1945,229.50982666015625,203.1251220703125,0.009999999776482582,0.0,222.0,1.0,0.0001055999964592047,,,,
1946,246.157958984375,204.89736938476562,0.009999999776482582,0.0,216.0,1.0,0.00010550000297371298,,,,
1947,152.53045654296875,204.2774200439453,0.009999999776482582,0.0,171.0,1.0,0.00010540000221226364,,,,
1948,233.46800231933594,205.7769775390625,0.009999999776482582,0.0,235.0,3.0,0.0001053000014508143,-0.01179517898708582,0.21343660354614258,2.6551198959350586,0.0019463284406811
1949,229.1524200439453,205.9744873046875,0.009999999776482582,0.0,236.0,1.0,0.00010520000068936497,,,,
1950,161.92755126953125,205.26123046875,0.009999999776482582,0.0,171.0,1.0,0.00010509999992791563,,,,
1951,235.0345916748047,205.0258331298828,0.009999999776482582,0.0,216.0,1.0,0.0001049999991664663,,,,
1952,206.7859344482422,204.04759216308594,0.009999999776482582,0.0,213.0,1.0,0.00010489999840501696,,,,
1953,236.33335876464844,204.8203582763672,0.009999999776482582,0.0,322.0,1.0,0.00010479999764356762,,,,
1954,217.27645874023438,204.8218231201172,0.009999999776482582,0.0,233.0,1.0,0.00010469999688211828,,,,
1955,243.11788940429688,205.6826934814453,0.009999999776482582,0.0,225.0,1.0,0.00010460000339662656,,,,
1956,239.84532165527344,204.10140991210938,0.009999999776482582,0.0,205.0,1.0,0.00010450000263517722,,,,
1957,241.85069274902344,204.51129150390625,0.009999999776482582,0.0,218.0,1.0,0.00010440000187372789,0.001873319037258625,0.21957655251026154,2.654747724533081,0.001636725733987987
1958,296.5799255371094,205.1133575439453,0.009999999776482582,0.0,255.0,1.0,0.00010430000111227855,,,,
1959,246.47726440429688,205.28244018554688,0.009999999776482582,0.0,247.0,1.0,0.00010420000035082921,,,,
1960,170.55908203125,203.8148956298828,0.009999999776482582,0.0,173.0,1.0,0.00010409999958937988,,,,
1961,246.40782165527344,204.0137176513672,0.009999999776482582,0.0,246.0,1.0,0.00010399999882793054,,,,
1962,243.2182159423828,204.65638732910156,0.009999999776482582,0.0,201.0,1.0,0.0001038999980664812,,,,
1963,450.4173583984375,206.94122314453125,0.019999999552965164,0.0,427.0,4.0,0.00010379999730503187,,,,
1964,259.0768737792969,206.92884826660156,0.019999999552965164,0.0,231.0,1.0,0.00010369999654358253,,,,
1965,234.7186737060547,207.9175567626953,0.019999999552965164,0.0,240.0,1.0,0.0001036000030580908,-0.010868910700082779,0.2787787914276123,2.6548919677734375,0.0020649051293730736
1966,175.69631958007812,208.7278289794922,0.019999999552965164,0.0,203.0,1.0,0.00010350000229664147,,,,
1967,257.0174865722656,209.93521118164062,0.019999999552965164,0.0,282.0,1.0,0.00010340000153519213,,,,
1968,224.16929626464844,210.31040954589844,0.019999999552965164,0.0,205.0,1.0,0.0001033000007737428,,,,
1969,227.26495361328125,210.62660217285156,0.019999999552965164,0.0,207.0,1.0,0.00010320000001229346,,,,
1970,197.29811096191406,210.70352172851562,0.019999999552965164,0.0,226.0,1.0,0.00010309999925084412,,,,
1971,243.01730346679688,211.12396240234375,0.019999999552965164,0.0,221.0,1.0,0.00010299999848939478,,,,
1972,245.31239318847656,211.36553955078125,0.019999999552965164,0.0,260.0,1.0,0.00010289999772794545,,,,
1973,233.3190460205078,210.97509765625,0.019999999552965164,0.0,240.0,1.0,0.00010279999696649611,-0.00010284851305186749,0.17880389094352722,2.6561226844787598,0.0035131373442709446
1974,222.57498168945312,211.47119140625,0.019999999552965164,0.0,270.0,1.0,0.00010270000348100439,,,,
1975,242.2794952392578,211.41043090820312,0.019999999552965164,0.0,203.0,1.0,0.00010260000271955505,,,,
1976,199.4022216796875,211.09674072265625,0.019999999552965164,0.0,196.0,1.0,0.00010250000195810571,,,,
1977,240.51400756835938,212.88450622558594,0.019999999552965164,0.0,210.0,1.0,0.00010240000119665638,,,,
1978,155.5687255859375,212.14662170410156,0.019999999552965164,0.0,181.0,1.0,0.00010230000043520704,,,,
